Ln,bw,h,fc,Ast,fyt,Ah,fyh,Av,fyv,Avd,fyd, Angle,Vn
1219,152,610,38,1483,321,0,0,1631,386,0,0,0,396
1219,152,610,31,1483,321,0,0,1631,386,0,0,0,372
1219,152,610,36,1483,321,0,0,2928,307,0,0,0,405
1016,152,787,35,1714,313,0,0,2548,285,0,0,0,641
1016,152,787,45,1714,313,0,0,3892,314,0,0,0,660
1016,152,787,45,1714,313,0,0,3892,314,0,0,0,736
1016,152,991,43,1477,316,1058,317,3892,314,0,0,0,1041
1016,152,787,37,1714,313,0,0,1359,386,0,0,0,651
1014,152,787,38,1715,313,0,0,3745,321,0,0,0,774
1016,152,787,34,1518,293,0,0,565,321,1521,294,32.1,674
1016,152,787,52,1470,276,0,0,565,321,1521,312,32.7,756
510,250,380,39,603,517,0,0,1272,524,0,0,0,478
510,250,380,31,603,517,531,469,1272,524,0,0,0,506
1050,250,525,44,633,506,507,506,2280,506,1548,438,20.4,1117
1050,250,525,44,633,506,507,506,2280,506,1548,438,22.1,1218
500,250,500,35,213,484,284,468,1935,468,2040,486,26,1444
1000,300,500,51,387,471,284,502,3870,502,2580,466,16,1073
1000,350,500,52,2644,449,516,468,5418,502,0,0,0,1098
1000,140,800,36,452,520,0,0,603,514,0,0,0,345
1000,300,500,48,387,494,516,494,1548,891,2580,725,20,1533
1000,300,500,75,387,494,516,494,1548,891,2580,725,20,1637
1000,300,500,76,387,494,516,494,2322,891,2580,725,20,1639
600,200,300,70,113,418,170,418,1357,418,568,479,17,411
600,200,300,70,113,418,170,418,679,418,568,479,17,387
1050,250,525,45,633,506,507,506,2280,506,1466,477,20.4,1117
1050,250,525,45,633,506,507,506,1773,506,1466,477,20.4,916
1050,250,525,45,633,506,507,506,1267,506,1466,477,20.4,873
1050,250,525,45,633,506,507,506,760,506,2027,481,20.4,863
800,300,450,42,398,358,0,0,560,953,774,523,21,480
800,300,450,46,796,358,0,0,560,953,1161,523,21,661
800,300,450,27,796,358,0,0,1120,953,1161,523,21,611
800,300,450,51,861,387,0,0,1792,953,1161,523,21,743
800,300,450,52,861,387,0,0,560,953,1161,523,21,701
800,300,450,45,796,358,0,0,560,953,1148,387,21,575
800,300,450,46,796,358,0,0,560,953,1148,724,15.5,835
500,130,500,33,226,484,113,281,704,296,0,0,0,212
500,130,300,33,226,484,57,281,704,296,0,0,0,124
500,130,500,29,85,281,57,281,226,281,314,504,38.7,283
500,130,300,26,85,281,57,281,226,281,314,504,21.8,170
600,150,400,49,290,567,57,576,756,576,0,0,0,224
600,150,400,45,290,567,57,576,756,576,0,0,0,237
600,150,400,54,57,567,57,567,283,567,314,567,26.6,230
